funded_amnt,int_rate,annual_inc,dti,delinq_2yrs,inq_last_6mths,open_acc,revol_bal,revol_util,total_acc,out_prncp,total_pymnt,term,grade,emp_title_2,emp_length_2,home_ownership,verification_status,issue_d_2,purpose_2,addr_state,time,pub_rec_2,Default
19525.0,20.39,36000.0,15.37,0.0,1.0,15.0,11459.0,15.4,29.0,0.0,3385.01, 60 months,D,5,2,MORTGAGE,Source Verified,3,2,IL,10136.0,0,1
35000.0,16.91,139000.0,8.39,0.0,0.0,21.0,10420.0,27.0,55.0,2565.93,4985.13, 36 months,C,1,2,MORTGAGE,Source Verified,0,2,SC,13910.0,0,0
4500.0,11.49,60000.0,11.66,0.0,0.0,8.0,1555.0,11.6,12.0,1273.29,4004.47, 36 months,B,5,2,RENT,Source Verified,3,0,CT,4567.0,1,0
15000.0,6.07,60000.0,15.44,0.0,0.0,14.0,19923.0,31.5,22.0,11501.39,4106.23, 36 months,A,5,2,RENT,Source Verified,1,0,PA,7701.0,1,0
9000.0,7.21,82000.0,22.24,0.0,1.0,7.0,13151.0,90.1,16.0,7398.62,1947.72, 36 months,A,5,1,MORTGAGE,Verified,1,2,VA,10411.0,0,0
16000.0,7.99,66000.0,14.15,0.0,0.0,10.0,6615.0,55.1,25.0,1859.13,16032.2, 36 months,A,5,1,MORTGAGE,Verified,2,2,MN,5539.0,0,0
16000.0,13.56,52000.0,32.1,0.0,1.0,14.0,8438.0,17.8,23.0,13373.9,3779.9, 36 months,C,5,1,RENT,Source Verified,1,0,CA,4414.0,0,0
13475.0,5.31,104000.0,15.07,0.0,0.0,23.0,11162.0,24.0,55.0,2565.93,9623.56, 36 months,A,0,1,MORTGAGE,Source Verified,1,0,MA,16681.0,0,0
10000.0,5.32,85000.0,22.22,0.0,1.0,11.0,10175.0,23.1,30.0,2071.33,8727.44, 36 months,A,5,2,MORTGAGE,Not Verified,3,0,AZ,10898.0,0,0
20000.0,15.31,87360.0,20.33,0.0,1.0,15.0,18101.0,62.6,24.0,10546.29,16309.15, 60 months,C,5,0,MORTGAGE,Not Verified,2,0,IL,19664.0,1,0
18000.0,21.49,73000.0,24.91,0.0,0.0,13.0,13295.0,51.9,18.0,0.0,20324.8393, 60 months,D,5,2,RENT,Verified,3,0,NY,5174.0,0,0
10000.0,7.89,50000.0,28.35,0.0,0.0,9.0,10956.0,75.0,23.0,0.0,11178.21925, 36 months,A,5,0,RENT,Verified,2,1,FL,6331.0,0,0
30000.0,12.61,66000.0,2.68,0.0,0.0,4.0,1023.0,13.6,20.0,26210.54,6881.79, 60 months,C,5,2,OWN,Source Verified,2,2,MA,8584.0,1,0
11200.0,16.29,79560.0,18.64,0.0,1.0,19.0,21399.0,77.0,31.0,5582.47,9857.46, 60 months,D,5,1,MORTGAGE,Verified,2,2,NC,6331.0,0,0
8000.0,10.56,38000.0,4.96,0.0,0.0,3.0,7913.0,98.9,4.0,6229.95,2337.56, 36 months,B,5,0,MORTGAGE,Verified,1,1,LA,2375.0,0,0
13475.0,15.59,85000.0,10.8,0.0,2.0,21.0,5784.0,16.0,25.0,0.0,22679.19, 36 months,C,5,2,RENT,Verified,3,0,CA,3409.0,0,1
9600.0,16.01,86000.0,31.69,0.0,1.0,22.0,11551.0,69.6,34.0,7135.68,3724.3, 36 months,C,1,1,MORTGAGE,Not Verified,3,1,NJ,3986.0,0,0
10000.0,14.47,25000.0,15.99,0.0,2.0,7.0,3058.0,30.6,9.0,9168.58,1637.87, 60 months,C,5,0,MORTGAGE,Source Verified,1,1,AR,2313.0,0,0
10450.0,12.61,35000.0,0.93,0.0,0.0,4.0,1138.0,7.9,13.0,8990.25,2577.95, 60 months,C,5,1,RENT,Source Verified,3,0,NY,5753.0,0,0
2400.0,12.79,39600.0,16.06,0.0,2.0,14.0,17439.0,34.6,26.0,0.0,2845.76, 36 months,C,0,1,MORTGAGE,Verified,2,2,AL,8188.0,0,1
10000.0,5.32,50000.0,4.67,0.0,0.0,6.0,5072.0,9.5,11.0,0.0,10147.08, 36 months,A,5,1,MORTGAGE,Not Verified,3,2,GA,5297.0,0,0
6000.0,15.99,39390.0,33.15,0.0,1.0,10.0,5155.0,33.7,27.0,0.0,6649.4051899999995, 36 months,C,5,1,MORTGAGE,Source Verified,3,0,SC,8797.0,0,0
12000.0,11.49,53000.0,3.44,0.0,0.0,4.0,5721.0,54.5,6.0,0.0,13951.531519999999, 36 months,B,5,2,RENT,Source Verified,3,0,CA,5054.0,0,0
21000.0,14.99,130000.0,15.48,0.0,1.0,14.0,15923.0,37.8,22.0,13767.64,13072.03, 60 months,C,5,2,OWN,Verified,3,0,NE,5631.0,2,0
25000.0,10.41,120000.0,7.58,0.0,0.0,4.0,10362.0,84.9,4.0,18167.79,8897.69, 36 months,B,5,2,RENT,Not Verified,3,0,CA,4170.0,0,0
32000.0,9.49,136380.0,0.8,0.0,0.0,13.0,2013.0,2.1,33.0,0.0,6188.25, 60 months,B,5,1,MORTGAGE,Verified,3,2,VA,7854.0,0,0
25750.0,19.99,53655.0,21.11,0.0,0.0,4.0,11449.0,97.0,12.0,0.0,25768.59, 36 months,E,5,1,RENT,Verified,1,1,NY,4993.0,0,0
10000.0,12.61,43000.0,22.3,0.0,0.0,10.0,27163.0,84.9,17.0,7332.94,3671.76, 36 months,C,5,1,RENT,Verified,3,1,IL,3075.0,0,0
11000.0,7.02,26000.0,24.05,0.0,0.0,12.0,6631.0,21.1,23.0,10447.59,702.29, 36 months,A,0,1,MORTGAGE,Verified,0,2,MA,6058.0,0,0
8500.0,6.49,38000.0,7.42,0.0,0.0,5.0,8594.0,40.7,13.0,258.99,9133.66, 36 months,A,5,2,MORTGAGE,Source Verified,2,1,CO,6150.0,0,0
10000.0,13.59,70000.0,8.28,0.0,2.0,9.0,604.0,3.0,31.0,0.0,10781.261209999999, 60 months,C,5,1,RENT,Verified,3,0,NJ,10349.0,0,0
15000.0,10.9,110000.0,29.52,0.0,1.0,21.0,26058.0,38.5,35.0,10922.74,5385.1, 36 months,B,5,2,RENT,Source Verified,3,1,CA,4170.0,0,0
18000.0,14.46,77400.0,44.42,0.0,0.0,19.0,28241.0,42.7,27.0,0.0,20452.02705, 36 months,C,5,2,MORTGAGE,Verified,2,0,TN,9649.0,0,0
21600.0,13.67,93000.0,12.3,0.0,0.0,8.0,17930.0,82.6,20.0,0.0,27937.6331, 60 months,C,5,1,MORTGAGE,Source Verified,1,0,PA,5266.0,0,0
5000.0,14.46,69000.0,22.87,0.0,0.0,11.0,18513.0,95.9,29.0,503.73,5668.3, 36 months,C,5,1,RENT,Verified,3,2,IL,5905.0,0,0
16000.0,15.99,51000.0,15.72,0.0,0.0,19.0,9352.0,31.6,27.0,0.0,18417.07981, 36 months,C,5,2,RENT,Source Verified,3,2,NY,4628.0,0,0
2000.0,7.24,57000.0,24.65,0.0,1.0,10.0,9234.0,39.0,19.0,599.49,1609.87, 36 months,A,0,1,MORTGAGE,Source Verified,3,0,IL,13606.0,1,0
15000.0,6.71,85000.0,28.91,0.0,1.0,13.0,12796.0,21.9,21.0,11130.58,4606.21, 36 months,A,5,2,OWN,Source Verified,2,0,CA,8645.0,0,0
8800.0,7.39,30102.0,17.78,0.0,0.0,5.0,10053.0,56.2,18.0,1076.21,8761.67, 36 months,A,5,2,MORTGAGE,Not Verified,3,0,PA,5539.0,0,0
30000.0,10.49,45000.0,17.31,0.0,0.0,15.0,648.0,1.6,38.0,0.0,6188.25, 36 months,B,5,0,MORTGAGE,Verified,3,0,CT,6605.0,1,0
6000.0,10.07,33000.0,11.53,0.0,0.0,4.0,2350.0,14.9,10.0,4818.04,1547.12, 36 months,B,5,2,RENT,Source Verified,1,2,CA,4505.0,0,0
35000.0,18.2,66000.0,11.88,0.0,0.0,5.0,13542.0,36.5,8.0,0.0,16031.23, 60 months,E,5,1,OWN,Verified,1,1,CA,3593.0,0,1
13925.0,9.58,55000.0,22.76,0.0,1.0,25.0,27606.0,26.1,37.0,0.0,14599.77685, 36 months,B,5,1,OWN,Verified,1,1,NJ,10319.0,0,0
5000.0,16.14,50000.0,4.2,0.0,0.0,12.0,4533.0,31.0,15.0,4669.41,519.45, 36 months,C,5,2,RENT,Source Verified,0,0,NJ,2405.0,0,0
8000.0,8.46,110000.0,8.06,0.0,1.0,9.0,9498.0,54.3,18.0,7207.67,1005.84, 36 months,A,0,1,MORTGAGE,Not Verified,0,1,UT,4779.0,0,0
12000.0,7.89,70000.0,19.6,0.0,0.0,15.0,8145.0,30.4,39.0,0.0,13406.89698, 36 months,A,5,0,RENT,Not Verified,2,0,FL,7092.0,0,0
5000.0,13.99,32000.0,6.83,0.0,0.0,2.0,8759.0,87.6,6.0,44.3,6026.59, 36 months,C,5,0,RENT,Verified,3,2,CA,6393.0,0,0
13000.0,11.49,75000.0,13.94,0.0,2.0,17.0,12157.0,24.0,28.0,0.0,14980.552269999998, 36 months,B,5,0,RENT,Verified,3,0,MD,11567.0,0,0
4000.0,11.99,65000.0,24.37,0.0,0.0,13.0,12558.0,90.3,26.0,0.0,1156.5, 36 months,C,5,2,MORTGAGE,Not Verified,2,2,NC,7550.0,0,1
12000.0,5.32,83500.0,16.36,0.0,1.0,11.0,8532.0,20.8,18.0,0.0,12898.556690000001, 36 months,A,5,2,MORTGAGE,Not Verified,2,0,CO,8369.0,0,0
8500.0,18.45,64800.0,25.19,0.0,1.0,20.0,20110.0,59.5,50.0,0.0,8910.100408, 36 months,D,5,1,MORTGAGE,Source Verified,2,1,MN,8858.0,0,0
15000.0,9.16,91000.0,13.98,0.0,0.0,10.0,13026.0,36.8,17.0,0.0,16173.26993, 60 months,B,5,1,RENT,Not Verified,3,0,MA,7397.0,0,0
10000.0,11.49,90000.0,18.92,0.0,2.0,11.0,7639.0,43.7,14.0,1227.31,10225.78, 36 months,B,5,2,RENT,Not Verified,3,0,NV,3348.0,1,0
14000.0,13.99,60000.0,23.88,0.0,0.0,7.0,12961.0,80.5,18.0,5779.79,13005.84, 60 months,C,5,2,MORTGAGE,Source Verified,3,0,OH,7611.0,0,0
35000.0,14.07,0.0,19.38914910777295,0.0,0.0,8.0,15289.0,70.1,24.0,26701.47,12011.41, 36 months,C,0,1,MORTGAGE,Not Verified,2,2,TX,8522.0,0,0
19200.0,8.39,89000.0,9.84,0.0,0.0,9.0,8899.0,44.7,16.0,9959.5,12564.17, 60 months,B,5,0,MORTGAGE,Not Verified,3,0,ND,5905.0,0,0
7500.0,11.55,30000.0,20.8,0.0,0.0,9.0,558.0,4.9,13.0,0.0,7507.582187999999, 36 months,B,5,2,RENT,Verified,0,1,MA,2466.0,0,0
20000.0,12.59,85000.0,15.52,0.0,1.0,14.0,4851.0,20.4,30.0,0.0,20222.86, 36 months,C,5,2,RENT,Source Verified,3,0,IL,6484.0,0,0
21000.0,11.99,51480.0,29.89,0.0,1.0,18.0,5165.0,15.1,39.0,11357.64,14930.97, 60 months,C,5,1,MORTGAGE,Not Verified,3,0,NY,9710.0,1,0
5000.0,12.05,36000.0,29.5,0.0,2.0,11.0,5702.0,38.0,28.0,0.0,5999.647832, 36 months,C,5,2,OWN,Source Verified,3,1,NC,6908.0,0,0
8800.0,11.49,67500.0,23.96,0.0,0.0,19.0,14090.0,63.2,29.0,1955.32,8403.12, 36 months,B,5,2,MORTGAGE,Source Verified,3,1,NJ,3805.0,0,0
29000.0,9.75,70000.0,14.3,0.0,2.0,15.0,11162.0,36.0,39.0,0.0,6188.25, 36 months,B,1,1,MORTGAGE,Verified,2,0,GA,6970.0,0,0
9000.0,10.99,54000.0,3.0,0.0,0.0,4.0,4526.0,50.9,5.0,0.0,10600.28334, 36 months,B,5,2,MORTGAGE,Source Verified,3,1,MA,6880.0,0,0
35000.0,17.99,70000.0,15.85,0.0,1.0,16.0,11162.0,63.0,29.0,0.0,6188.25, 36 months,D,5,2,MORTGAGE,Source Verified,3,0,GA,6028.0,0,0
25000.0,14.99,105000.0,26.21,0.0,1.0,25.0,11162.0,71.7,42.0,15605.39,16628.54, 60 months,C,5,1,MORTGAGE,Not Verified,3,2,DE,7550.0,0,0
35000.0,11.99,35300.0,18.11,0.0,0.0,14.0,22538.0,96.7,27.0,2565.93,7278.13, 60 months,E,5,2,OWN,Not Verified,1,0,NM,5509.0,0,0
25250.0,11.99,60000.0,19.32,0.0,0.0,10.0,8726.0,50.7,25.0,0.0,6188.25, 60 months,F,5,1,MORTGAGE,Not Verified,3,0,SD,6362.0,1,0
30000.0,11.05,65000.0,24.93,0.0,0.0,11.0,16792.0,30.6,23.0,26886.8,5187.41, 60 months,B,5,1,RENT,Source Verified,1,1,NC,8280.0,0,0
20000.0,8.39,100000.0,7.3,0.0,2.0,10.0,5696.0,16.5,25.0,0.0,22650.36002, 36 months,B,4,2,OWN,Source Verified,2,2,MI,5113.0,1,0
24000.0,18.99,102000.0,22.37,0.0,1.0,12.0,28160.0,93.2,32.0,0.0,6188.25, 60 months,D,5,1,OWN,Not Verified,1,0,AL,7397.0,0,0
12800.0,14.03,40000.0,32.88,0.0,1.0,7.0,8025.0,47.8,10.0,11563.48,2299.53, 60 months,C,5,2,RENT,Verified,1,0,IL,2344.0,0,0
30000.0,11.99,107000.0,20.95,0.0,2.0,13.0,8036.0,64.3,18.0,0.0,6188.25, 60 months,E,5,2,RENT,Source Verified,1,2,NY,5235.0,0,0
5000.0,11.98,68000.0,9.39,0.0,1.0,4.0,907.0,29.3,12.0,3785.29,1653.64, 36 months,B,5,1,MORTGAGE,Source Verified,2,2,PA,3652.0,1,0
14000.0,11.99,50000.0,9.96,0.0,2.0,6.0,3348.0,38.0,7.0,0.0,16410.07764, 36 months,C,5,0,RENT,Source Verified,2,0,CA,6362.0,0,0
